"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
2995,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1497,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a200","0x14806a8d8b40",1918509294335834,1918509294667648,1918509297674533,1918509297729672,3006885
2996,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,749,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a200","0x14806a8d8b00",1918509297985345,1918509297998694,1918509300127978,1918509300159529,2129284
2997,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1499,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a300","0x14806a8d8b40",1918509301138759,1918509301465100,1918509304455825,1918509304502088,2990725
2998,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,749,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a300","0x14806a8d8b00",1918509304747070,1918509304762534,1918509306914057,1918509306964588,2151523
2999,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1499,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a100","0x14806a8d8b40",1918509308007871,1918509308336139,1918509311331664,1918509311380888,2995525
3000,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,750,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a100","0x14806a8d8b00",1918509311643464,1918509311660145,1918509313807829,1918509313840713,2147684
3001,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1501,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a180","0x14806a8d8b40",1918509314667859,1918509314997431,1918509317995676,1918509318028814,2998245
3002,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,750,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a180","0x14806a8d8b00",1918509318234671,1918509318246397,1918509320366720,1918509320398144,2120323
3003,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1501,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a080","0x14806a8d8b40",1918509321419886,1918509321746563,1918509324762088,1918509324809906,3015525
3004,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,751,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a080","0x14806a8d8b00",1918509325058065,1918509325071689,1918509327194732,1918509327225626,2123043
3005,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1503,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829f80","0x14806a8d8b40",1918509328184957,1918509328516015,1918509331530100,1918509331577101,3014085
3006,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,751,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829f80","0x14806a8d8b00",1918509331832664,1918509331849141,1918509333979545,1918509334028360,2130404
3007,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1503,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829f00","0x14806a8d8b40",1918509334880234,1918509335208667,1918509338238432,1918509338267058,3029765
3008,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,752,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829f00","0x14806a8d8b00",1918509338470350,1918509338483393,1918509340624996,1918509340681125,2141603
3009,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1505,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a000","0x14806a8d8b40",1918509341772090,1918509342100039,1918509345066604,1918509345114107,2966565
3010,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,752,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a000","0x14806a8d8b00",1918509345362607,1918509345377485,1918509347519889,1918509347548003,2142404
3011,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1505,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829e00","0x14806a8d8b40",1918509348578350,1918509348905971,1918509351960057,1918509352006394,3054086
3012,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,753,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829e00","0x14806a8d8b00",1918509352263199,1918509352279257,1918509354397821,1918509354429088,2118564
3013,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1507,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829d80","0x14806a8d8b40",1918509355436411,1918509355762943,1918509358768709,1918509358824367,3005766
3014,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,753,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829d80","0x14806a8d8b00",1918509359079990,1918509359095429,1918509361232713,1918509361264134,2137284
3015,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1507,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829d00","0x14806a8d8b40",1918509362100137,1918509362430155,1918509365426641,1918509365473325,2996486
3016,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,754,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829d00","0x14806a8d8b00",1918509365733296,1918509365750321,1918509367875445,1918509367923021,2125124
3017,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1509,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829e80","0x14806a8d8b40",1918509369019326,1918509369347617,1918509372338662,1918509372387573,2991045
3018,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,754,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829e80","0x14806a8d8b00",1918509372635452,1918509372651622,1918509374764586,1918509374822451,2112964
3019,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1509,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829c00","0x14806a8d8b40",1918509375900591,1918509376227948,1918509379218674,1918509379266214,2990726
3020,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,755,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829c00","0x14806a8d8b00",1918509379514563,1918509379529234,1918509381664598,1918509381706071,2135364
3021,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1511,37747,37747,112640,256,512,16416,32,72,0,"0x14806a829b80","0x14806a8d8b40",1918509382555580,1918509382887960,1918509385877566,1918509385932776,2989606
3022,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,755,37747,37747,112640,256,512,0,24,40,4288,"0x14806a829b80","0x14806a8d8b00",1918509386183610,1918509386198046,1918509388328930,1918509388360399,2130884
